sep=\t
Module Resource Usage Distribution Estimates
Generated at: May 07, 2026 11:39:37

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      SRLs	      ADDs	      LUTs	    COMB4s	      RAMs	 DSP/MULTs
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=3)	     0(0)	     0(0)	     0(0)	     2(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=2)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_2d715ebddfec4a2289c485ca66dd30eb	     0(0)	     0(0)	     0(0)	     3(3)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_addr_sync:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=5,ACTIVE_LOW=0,OFF_ASSERTION=1)	   10(10)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb	     0(0)	     0(0)	     0(0)	     4(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=4)	     0(0)	     0(0)	     0(0)	     3(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=3)	     0(0)	     0(0)	     0(0)	     2(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=2)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	     0(0)	     0(0)	
    +pll_mode_block.genblk1.hbram_cal_mst_inst:hbram_cal_mst_2d715ebddfec4a2289c485ca66dd30eb(ONE_SEC=200000000,ONE_DAY=24,RECAL_DAYS=7,CAL_BYTES=100,DUAL_RAM=0)	   12(12)	     0(0)	     0(0)	   22(22)	     0(0)	     0(0)	     0(0)	
    +pll_mode_block.genblk1.hbram_cal_slv_inst:hbram_cal_slv_2d715ebddfec4a2289c485ca66dd30eb(CAL_BYTES=100,RAM_ABW=24,DUAL_RAM=0,INDIVI_DUAL_CAL=0)	 118(118)	     0(0)	   24(24)	 197(197)	     0(0)	     0(0)	     0(0)	
